-50.0	-50.295501290763326 -48.24365155994478 -50.21762875394005 -46.928177376661125 -49.479000271787726 

-10.0	-9.82627138683319 -8.818580095493072 -8.836903253597225 -9.756194078150106 -9.106295081955304 

-5.0	-4.172736429768147 -3.9962239101916053 -4.216655381479237 -3.9731337401295197 -4.050930925774586 

-1.0	-1.1081538560338313 -0.9464303025846387 -0.9047928502655058 -0.9449417947607979 -0.9266572145684626 

0.0	-0.07191343104773848 0.27847042705138614 0.05108159384089694 0.031238088804666397 -0.0025528725200009597 

1.0	1.0094917737578493 0.9298714181335266 0.9232645046995072 1.1175200618514654 1.0556274383253892 

5.0	3.7809045155927885 3.64407446885581 3.8357280281212196 3.471513273021327 3.7116841277540162 

10.0	3.5391328646874904 3.619829374068564 3.380717970700683 3.4380295358325617 3.4097344714604105 

50.0	4.404224218249972 4.52578778181943 4.594344630223216 4.482156983115749 4.326517664178795 

